"ID_cliente","ID_producto","ID_vendedor","Cod_pedido","Fecha_pedido","Fecha_despacho","Unidades"
"C00030","I003493","V00438","P0034223","1/1/2018","1/21/2018","81"
"C00031","I003507","V00432","P0034224","1/1/2018","1/17/2018","112"
"C00025","I003489","V00434","P0034225","1/1/2018","1/23/2018","104"
"C00032","I003608","V00441","P0034226","1/1/2018","1/19/2018","191"
"C00023","I003559","V00438","P0034227","1/1/2018","1/19/2018","182"
"C00011","I003585","V00435","P0034228","1/1/2018","1/24/2018","149"
"C00013","I003517","V00433","P0034229","1/1/2018","1/20/2018","83"
"C00014","I003538","V00436","P0034230","1/1/2018","1/25/2018","146"
"C00025","I003610","V00442","P0034231","1/1/2018","1/21/2018","119"
"C00018","I003591","V00432","P0034232","1/1/2018","1/21/2018","104"
"C00027","I003612","V00441","P0034233","1/1/2018","1/13/2018","87"
"C00019","I003600","V00436","P0034234","1/1/2018","1/26/2018","177"
"C00026","I003625","V00440","P0034235","1/1/2018","1/14/2018","185"
"C00027","I003578","V00438","P0034236","1/1/2018","1/22/2018","125"
"C00013","I003623","V00438","P0034237","1/2/2018","1/20/2018","163"
"C00016","I003501","V00436","P0034238","1/2/2018","1/20/2018","117"
"C00015","I003582","V00439","P0034239","1/2/2018","1/20/2018","188"
"C00021","I003537","V00442","P0034240","1/2/2018","1/13/2018","166"
"C00013","I003521","V00438","P0034241","1/2/2018","1/15/2018","154"
"C00011","I003590","V00439","P0034242","1/2/2018","1/27/2018","139"
"C00030","I003586","V00438","P0034243","1/2/2018","1/26/2018","173"
"C00032","I003475","V00434","P0034244","1/2/2018","1/13/2018","198"
"C00013","I003477","V00437","P0034245","1/2/2018","1/24/2018","61"
"C00028","I003500","V00439","P0034246","1/2/2018","1/20/2018","178"
"C00028","I003570","V00435","P0034247","1/2/2018","1/24/2018","182"
"C00021","I003554","V00433","P0034248","1/2/2018","1/17/2018","72"
"C00013","I003590","V00438","P0034249","1/2/2018","1/14/2018","199"
"C00018","I003538","V00436","P0034250","1/2/2018","1/26/2018","82"
"C00011","I003585","V00438","P0034251","1/2/2018","1/12/2018","57"
"C00031","I003528","V00433","P0034252","1/2/2018","1/25/2018","119"
"C00019","I003552","V00440","P0034253","1/2/2018","1/19/2018","93"
"C00019","I003478","V00440","P0034254","1/2/2018","1/25/2018","140"
"C00018","I003559","V00442","P0034255","1/2/2018","1/17/2018","113"
"C00012","I003464","V00434","P0034256","1/2/2018","1/19/2018","158"
"C00030","I003516","V00437","P0034257","1/3/2018","1/19/2018","91"
"C00030","I003525","V00435","P0034258","1/3/2018","1/25/2018","72"
"C00028","I003623","V00433","P0034259","1/3/2018","1/13/2018","82"
"C00013","I003571","V00440","P0034260","1/3/2018","1/15/2018","131"
"C00022","I003511","V00438","P0034261","1/3/2018","1/20/2018","155"
"C00015","I003612","V00434","P0034262","1/3/2018","1/14/2018","123"
"C00031","I003462","V00434","P0034263","1/3/2018","1/16/2018","120"
"C00027","I003480","V00436","P0034264","1/3/2018","1/20/2018","126"
"C00019","I003569","V00435","P0034265","1/3/2018","1/16/2018","66"
"C00013","I003492","V00442","P0034266","1/3/2018","1/14/2018","189"
"C00014","I003608","V00441","P0034267","1/3/2018","1/20/2018","139"
"C00012","I003471","V00434","P0034268","1/3/2018","1/25/2018","159"
"C00020","I003542","V00439","P0034269","1/4/2018","1/15/2018","196"
"C00017","I003598","V00442","P0034270","1/4/2018","1/28/2018","143"
"C00016","I003505","V00438","P0034271","1/4/2018","1/22/2018","100"
"C00028","I003482","V00435","P0034272","1/4/2018","1/19/2018","76"
"C00014","I003537","V00441","P0034273","1/4/2018","1/22/2018","96"
"C00011","I003590","V00441","P0034274","1/4/2018","1/18/2018","81"
"C00020","I003622","V00441","P0034275","1/4/2018","1/18/2018","82"
"C00013","I003480","V00437","P0034276","1/4/2018","1/21/2018","86"
"C00011","I003611","V00437","P0034277","1/4/2018","1/29/2018","83"
"C00011","I003473","V00436","P0034278","1/4/2018","1/15/2018","168"
"C00015","I003562","V00436","P0034279","1/4/2018","1/14/2018","133"
"C00013","I003607","V00438","P0034280","1/4/2018","1/15/2018","104"
"C00021","I003617","V00442","P0034281","1/4/2018","1/26/2018","196"
"C00013","I003601","V00433","P0034282","1/5/2018","1/27/2018","106"
"C00030","I003544","V00434","P0034283","1/5/2018","1/27/2018","68"
"C00028","I003596","V00433","P0034284","1/5/2018","1/20/2018","98"
"C00025","I003495","V00441","P0034285","1/5/2018","1/20/2018","82"
"C00024","I003605","V00433","P0034286","1/5/2018","1/22/2018","87"
"C00017","I003499","V00440","P0034287","1/5/2018","1/24/2018","123"
"C00013","I003464","V00436","P0034288","1/5/2018","1/21/2018","123"
"C00019","I003522","V00433","P0034289","1/5/2018","1/27/2018","89"
"C00019","I003581","V00438","P0034290","1/5/2018","1/17/2018","136"
"C00025","I003530","V00433","P0034291","1/5/2018","1/22/2018","121"
"C00019","I003564","V00437","P0034292","1/6/2018","1/27/2018","152"
